as_of_date,signal_date,regime,action,weight_a,weight_b,rebalance,drift_pct,qqq_price,sma_val,pct_vs_sma,vix_signal,vix_raw,shadow,gap_guard,gap_pct,exposure_a,exposure_b,exposure_date
2026-03-27,2026-03-25,high_vol,HOLD,0.25,0.75,False,0.0,587.82,610.6509,-3.74,25.85,27.44,True,,,,,
2026-03-28,2026-03-25,high_vol,HOLD,0.25,0.75,False,0.0,587.82,610.6509,-3.74,25.85,27.44,True,,,,,
2026-03-30,2026-03-26,high_vol,HOLD,0.25,0.75,False,0.0,573.79,610.4964,-6.01,26.53,31.05,True,,,,,
2026-03-31,2026-03-27,high_vol,HOLD,0.25,0.75,False,0.0,562.58,609.4844,-7.7,27.38,30.61,True,,,,,
2026-04-01,2026-03-31,high_vol,HOLD,0.25,0.75,False,0.0,577.18,609.0084,-5.23,27.94,24.54,True,,,,,
2026-04-02,2026-04-01,high_vol,HOLD,0.25,0.75,False,0.0,584.31,608.9294,-4.04,27.78,23.87,True,,,,,
2026-04-06,2026-04-02,high_vol,HOLD,0.25,0.75,False,0.0,584.98,608.8752,-3.92,27.06,24.17,True,,,,,
2026-04-07,2026-04-02,high_vol,HOLD,0.25,0.75,False,0.0,584.98,608.8752,-3.92,27.06,24.17,True,,,,,
2026-04-08,2026-04-07,high_vol,HOLD,0.25,0.75,False,0.0,588.59,608.7631,-3.31,24.72,21.04,True,,,,,
2026-04-09,2026-04-08,high_vol,HOLD,0.25,0.75,False,0.0,606.09,608.8189,-0.45,23.88,19.49,True,,,,,
2026-04-10,2026-04-09,uncertain,INCREASE_A,0.65,0.35,True,40.0,610.19,608.8841,0.21,22.87,19.23,True,,,,,
2026-04-13,2026-04-10,uncertain,HOLD,0.65,0.35,False,0.0,611.07,608.937,0.35,21.94,19.12,True,,,,,
2026-04-14,2026-04-13,uncertain,HOLD,0.65,0.35,False,0.0,617.39,609.0581,1.37,20.93,18.36,True,,,,,
2026-04-15,2026-04-14,uncertain,HOLD,0.65,0.35,False,0.0,628.6,609.2307,3.18,19.45,18.17,True,,,,,
2026-04-16,2026-04-14,uncertain,HOLD,0.75,0.25,False,0.0,628.6,609.2307,3.18,19.45,18.17,True,,,,,
2026-04-17,2026-04-15,uncertain,HOLD,0.75,0.25,False,0.0,637.4,609.4955,4.58,18.87,17.94,True,,,,,
2026-04-20,2026-04-16,uncertain,HOLD,0.75,0.25,False,0.0,640.47,609.7308,5.04,18.56,17.48,True,,,,,
